EZH2_GSM1003550	AUC = 0.842
SUZ12_GSM1031240	AUC = 0.835
EZH2_GSM1003532	AUC = 0.816
SUZ12_GSM2409704	AUC = 0.810
SUZ12_GSM2409698	AUC = 0.808
EP300_GSM1003514	AUC = 0.802
JARID2_GSM1180149	AUC = 0.800
EZH2_GSM1003529	AUC = 0.797
EZH2_GSM1003489	AUC = 0.796
JARID2_GSM1180148	AUC = 0.795
EZH2_GSM1180162	AUC = 0.790
EZH2_GSM1180154	AUC = 0.789
SUZ12_GSM1842795	AUC = 0.789
EZH2_GSM1003518	AUC = 0.789
EZH2_GSM1180158	AUC = 0.788
JARID2_GSM1180161	AUC = 0.786
EZH2_GSM1180139	AUC = 0.786
JARID2_GSM1180169	AUC = 0.785
EZH2_GSM1180166	AUC = 0.785
SUZ12_GSM2265652	AUC = 0.784
JARID2_GSM1180153	AUC = 0.784
JARID2_GSM1180157	AUC = 0.783
EZH2_GSM2265654	AUC = 0.775
SUZ12_GSM2409674	AUC = 0.773
SUZ12_GSM2705896	AUC = 0.767
EZH2_GSM1003524	AUC = 0.761
JARID2_GSM1180165	AUC = 0.760
SUZ12_GSM935423	AUC = 0.759
EZH2_GSM2265655	AUC = 0.756
EZH1_GSM2371321	AUC = 0.756
EZH2_GSM1180150	AUC = 0.751
EZH2_GSM717404	AUC = 0.745
EZH2_GSM1003487	AUC = 0.742
JARID2_GSM1180131	AUC = 0.742
EZH2_GSM831028	AUC = 0.740
JARID2_GSM1180138	AUC = 0.737
EZH2_GSM1003501	AUC = 0.735
EZH2_GSM2029369	AUC = 0.728
EZH2_GSM1180135	AUC = 0.721
EED_GSM1427066	AUC = 0.715
JMJD6_GSM1249879	AUC = 0.715
KDM2B_GSM1612048	AUC = 0.710
KDM2B_GSM1612072	AUC = 0.707
KDM2B_GSM1612069	AUC = 0.704
RNF2_GSM2805878	AUC = 0.700
SMC1A_GSM2247253	AUC = 0.696
SOX10_GSM1517752	AUC = 0.693
RNF2_GSM585229	AUC = 0.688
RAD21_GSM2809610	AUC = 0.688
KDM2B_GSM2805875	AUC = 0.686
MBD2_GSM1388122	AUC = 0.685
EZH2_GSM1385748	AUC = 0.683
JARID2_GSM1180134	AUC = 0.682
MBD2_GSM1322266	AUC = 0.682
SUZ12_GSM969572	AUC = 0.682
JMJD6_GSM1249880	AUC = 0.681
SMC3_GSM1240840	AUC = 0.679
RYBP_GSM855008	AUC = 0.678
