TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ASCL1	5.342	4.596e-08	2.692	0.661	0.023	5.480e-05
SIRT1	2.988	1.402e-03	2.804	0.640	0.029	1.111e-04
SMC1A	7.848	2.114e-15	2.343	0.696	0.031	1.330e-04
SOX2	4.661	1.575e-06	2.583	0.642	0.031	1.330e-04
CTCF	31.169	1.389e-213	2.349	0.663	0.032	1.474e-04
RAD21	10.327	2.663e-25	2.322	0.688	0.032	1.524e-04
SMC3	8.049	4.168e-16	2.244	0.679	0.039	2.633e-04
SRF	3.267	5.428e-04	2.466	0.636	0.039	2.633e-04
STAG1	9.115	3.928e-20	2.247	0.666	0.040	2.782e-04
POLR3D	3.598	1.603e-04	2.403	0.630	0.041	3.097e-04
NANOG	5.322	5.121e-08	2.531	0.608	0.042	3.348e-04
ZNF2	2.483	6.506e-03	3.037	0.600	0.044	3.890e-04
OTX2	5.004	2.805e-07	2.545	0.602	0.046	4.487e-04
MAML3	3.003	1.336e-03	2.854	0.596	0.047	4.593e-04
TET2	3.577	1.741e-04	2.453	0.606	0.050	5.614e-04
SOX10	1.712	4.348e-02	2.818	0.693	0.054	6.915e-04
MITF	2.277	1.139e-02	2.946	0.594	0.055	7.487e-04
POU5F1	5.875	2.120e-09	2.329	0.601	0.055	7.635e-04
GLIS1	2.732	3.148e-03	2.975	0.583	0.056	8.090e-04
EBF3	2.354	9.294e-03	2.900	0.585	0.062	1.082e-03
TCF4	2.746	3.014e-03	2.382	0.599	0.064	1.179e-03
CTCFL	3.240	5.976e-04	2.080	0.628	0.066	1.302e-03
BMI1	2.612	4.502e-03	2.107	0.633	0.067	1.324e-03
SMAD2	2.427	7.619e-03	2.336	0.601	0.067	1.367e-03
SMAD3	3.373	3.713e-04	1.952	0.675	0.069	1.503e-03
ZNF654	2.327	9.974e-03	2.159	0.622	0.070	1.526e-03
TFAP2A	2.863	2.100e-03	2.131	0.606	0.073	1.749e-03
KDM4A	2.636	4.194e-03	2.043	0.627	0.073	1.775e-03
SUMO1	5.063	2.064e-07	2.050	0.604	0.074	1.801e-03
HNF1A	2.536	5.600e-03	2.339	0.588	0.074	1.827e-03
TOP1	3.004	1.334e-03	2.635	0.574	0.074	1.827e-03
CHD5	1.639	5.065e-02	2.635	0.616	0.074	1.827e-03
JMJD6	3.816	6.768e-05	1.789	0.715	0.074	1.827e-03
KDM3B	2.144	1.602e-02	2.127	0.630	0.075	1.936e-03
EZH2	9.095	4.723e-20	1.660	0.842	0.076	1.964e-03
GTF2I	3.598	1.605e-04	1.954	0.612	0.079	2.196e-03
EOMES	2.386	8.510e-03	2.484	0.581	0.080	2.318e-03
ZNF800	1.956	2.523e-02	3.645	0.572	0.083	2.577e-03
SP140	2.163	1.525e-02	2.116	0.608	0.086	2.818e-03
FEZF1	2.236	1.268e-02	2.963	0.566	0.087	2.963e-03
EED	1.785	3.713e-02	2.038	0.715	0.088	3.112e-03
PDX1	1.917	2.762e-02	2.851	0.573	0.089	3.188e-03
REST	3.867	5.514e-05	2.128	0.581	0.090	3.227e-03
OSR2	2.174	1.487e-02	3.114	0.564	0.091	3.345e-03
RNF2	2.700	3.467e-03	1.663	0.700	0.091	3.385e-03
ZBTB2	2.014	2.198e-02	2.305	0.589	0.091	3.385e-03
ZNF488	1.883	2.984e-02	3.486	0.569	0.091	3.385e-03
ZNF202	2.119	1.706e-02	2.672	0.571	0.091	3.426e-03
GRHL3	2.289	1.103e-02	2.175	0.587	0.092	3.466e-03
SIX2	3.057	1.119e-03	2.633	0.563	0.092	3.507e-03
SUZ12	5.174	1.145e-07	1.434	0.835	0.094	3.760e-03
HAND2	1.505	6.620e-02	2.780	0.588	0.096	3.979e-03
FOXH1	1.793	3.650e-02	2.519	0.582	0.098	4.207e-03
SMAD2-SMAD3	2.319	1.019e-02	2.097	0.586	0.098	4.300e-03
SSU72	1.601	5.471e-02	2.309	0.602	0.099	4.395e-03
CTNNB1	1.573	5.787e-02	2.395	0.598	0.100	4.443e-03
BCL11A	1.392	8.196e-02	2.397	0.612	0.100	4.491e-03
ZBTB42	1.475	7.009e-02	2.786	0.585	0.100	4.491e-03
JARID2	5.441	2.655e-08	1.307	0.800	0.102	4.788e-03
NME2	1.886	2.965e-02	2.664	0.569	0.102	4.839e-03
ZNF423	2.153	1.567e-02	1.993	0.597	0.104	5.046e-03
CHD8	1.654	4.908e-02	2.708	0.573	0.106	5.312e-03
MBD1	2.387	8.490e-03	2.097	0.579	0.106	5.421e-03
SCRT1	1.924	2.716e-02	2.939	0.560	0.110	5.931e-03
CBX2	1.644	5.006e-02	1.963	0.620	0.111	6.167e-03
CNOT3	2.216	1.334e-02	1.672	0.614	0.112	6.288e-03
POLR2AphosphoS5	2.459	6.957e-03	2.177	0.566	0.113	6.410e-03
ZFP57	1.954	2.532e-02	2.178	0.578	0.114	6.596e-03
HOXC9	1.808	3.526e-02	2.736	0.562	0.117	7.176e-03
DRAP1	1.603	5.447e-02	2.024	0.602	0.118	7.444e-03
MAX	3.206	6.738e-04	1.266	0.632	0.120	7.859e-03
TBX5	2.466	6.838e-03	2.511	0.551	0.121	8.000e-03
GTF3C5	2.028	2.127e-02	1.761	0.601	0.122	8.072e-03
HNF1B	1.556	5.991e-02	2.101	0.595	0.122	8.072e-03
WT1	1.775	3.795e-02	2.681	0.561	0.122	8.072e-03
ZBTB48	3.928	4.281e-05	2.080	0.561	0.123	8.362e-03
DROSHA	2.046	2.036e-02	1.541	0.615	0.125	8.810e-03
ZNF366	1.586	5.634e-02	2.867	0.560	0.128	9.431e-03
RYBP	2.403	8.132e-03	1.158	0.678	0.129	9.753e-03
AR	6.347	1.101e-10	1.851	0.563	0.130	9.834e-03
HEXIM1	2.216	1.335e-02	1.716	0.585	0.130	9.834e-03
ZSCAN20	1.704	4.416e-02	2.815	0.554	0.131	1.008e-02
HIC1	1.757	3.942e-02	2.475	0.560	0.132	1.033e-02
RING1	1.604	5.437e-02	2.143	0.573	0.133	1.059e-02
H2AZ	7.487	3.524e-14	0.920	0.624	0.134	1.094e-02
ZNF600	1.754	3.971e-02	2.491	0.558	0.134	1.094e-02
SNAI2	3.652	1.300e-04	2.013	0.555	0.135	1.111e-02
EMX1	2.372	8.843e-03	1.625	0.583	0.136	1.129e-02
SIX1	2.100	1.784e-02	3.010	0.536	0.137	1.156e-02
NFIC	1.907	2.825e-02	2.775	0.546	0.137	1.165e-02
GATA4	2.975	1.467e-03	2.323	0.542	0.138	1.184e-02
PRDM10	1.699	4.468e-02	2.692	0.552	0.138	1.193e-02
PITX3	1.300	9.681e-02	2.958	0.562	0.138	1.193e-02
ZNF335	1.986	2.351e-02	1.810	0.575	0.140	1.230e-02
SP7	1.716	4.311e-02	2.570	0.553	0.141	1.259e-02
EBF1	2.265	1.177e-02	1.919	0.565	0.141	1.269e-02
ZBTB6	2.047	2.035e-02	2.221	0.554	0.142	1.298e-02
TERC	2.315	1.031e-02	2.217	0.548	0.144	1.338e-02
ZNF467	1.446	7.415e-02	2.088	0.581	0.144	1.348e-02
KDM2B	4.915	4.433e-07	0.642	0.710	0.145	1.358e-02
PAX6	1.110	1.335e-01	2.783	0.568	0.145	1.358e-02
ZSCAN16	1.771	3.830e-02	3.949	0.537	0.145	1.378e-02
PRDM14	1.343	8.957e-02	2.329	0.567	0.147	1.430e-02
PHOX2B	1.301	9.666e-02	2.657	0.563	0.148	1.462e-02
ZNF282	2.294	1.088e-02	1.118	0.610	0.149	1.483e-02
SCRT2	1.577	5.739e-02	3.131	0.541	0.149	1.494e-02
NEUROD1	1.836	3.317e-02	2.313	0.551	0.150	1.527e-02
FOXA2	2.191	1.423e-02	1.591	0.574	0.151	1.549e-02
TFAP2C	2.011	2.219e-02	1.794	0.567	0.152	1.593e-02
