FOSL1_GSM2501565	AUC = 0.783
MED1_GSM2190588	AUC = 0.765
MBD3_GSM1089819	AUC = 0.761
JUN_GSM1700784	AUC = 0.739
JUN_GSM1700785	AUC = 0.736
SMAD4_GSM1246718	AUC = 0.732
RELA_GSM2746542	AUC = 0.732
JUN_GSM1700786	AUC = 0.731
SMARCC1_GSM1835990	AUC = 0.723
SMARCA4_GSM1835989	AUC = 0.722
JUND_GSM738818	AUC = 0.721
JUN_GSM2266292	AUC = 0.716
SMAD4_GSM1246719	AUC = 0.716
JUND_GSM2266293	AUC = 0.705
JUN_GSM2266291	AUC = 0.704
PRMT5_GSM1964895	AUC = 0.695
TCF12_GSM722166	AUC = 0.691
FOSL2_ENCSR775UFR_3	AUC = 0.689
FOSL1_GSM2635308	AUC = 0.684
EPAS1_GSM856790	AUC = 0.681
FOSL2_ENCSR775UFR_1	AUC = 0.680
FOSL2_ENCSR775UFR_2	AUC = 0.679
FOSL1_GSM2635310	AUC = 0.678
FOSL2_ENCSR535HFQ_1	AUC = 0.678
FOSL2_ENCSR274WRI_3	AUC = 0.677
STAT3_GSM2278002	AUC = 0.676
FOSL2_ENCSR686HIU_2	AUC = 0.673
FOSL2_ENCSR103UVU_1	AUC = 0.673
FOSL2_ENCSR067XTW_2	AUC = 0.673
PPARG_GSM624141	AUC = 0.672
FOSL2_ENCSR593DGU_2	AUC = 0.672
SMAD2-SMAD3_GSM2795973	AUC = 0.672
SMAD3_GSM934615	AUC = 0.672
FOSL2_ENCSR593DGU_1	AUC = 0.671
FOSL2_ENCSR330IJE_2	AUC = 0.671
FOSL2_ENCSR900RUE_3	AUC = 0.670
ERCC6_GSM1215093	AUC = 0.669
FOS_GSM1690574	AUC = 0.669
FOSL2_ENCSR242EWU_2	AUC = 0.668
EP300_GSM2029581	AUC = 0.667
FOSL2_ENCSR546KCN_1	AUC = 0.667
RELA_GSM2103047	AUC = 0.667
NR3C1_GSM1350529	AUC = 0.666
JUNB_GSM2394416	AUC = 0.664
RXRA_GSM2877305	AUC = 0.664
DNMT1_GSM1678031	AUC = 0.664
GRIP1_GSM2661799	AUC = 0.664
MED1_GSM894082	AUC = 0.663
RELA_GSM2419827	AUC = 0.663
FOSL2_ENCSR900RUE_1	AUC = 0.662
FOSL2_ENCSR274WRI_2	AUC = 0.662
FOSL2_ENCSR242EWU_1	AUC = 0.662
FOSL2_ENCSR686HIU_1	AUC = 0.662
GRIP1_GSM2661805	AUC = 0.661
STAT3_GSM2278003	AUC = 0.660
TEAD4_GSM1084783	AUC = 0.659
YAP1_GSM1614029	AUC = 0.658
FOSL2_ENCSR067XTW_3	AUC = 0.658
RELA_GSM2419823	AUC = 0.658
FOS_GSM730703	AUC = 0.658
FAIRE_GSM748524	AUC = 0.656
TEAD4_GSM1614034	AUC = 0.656
BRD4_GSM1195551	AUC = 0.656
JUN_GSM1614036	AUC = 0.655
FOSL2_ENCSR111ZXV_2	AUC = 0.655
FOSL2_ENCSR546KCN_2	AUC = 0.655
JUN_GSM2576178	AUC = 0.655
RXRA_GSM2877304	AUC = 0.655
FOSL2_ENCSR563GCV_1	AUC = 0.654
TCF4_GSM1535697	AUC = 0.654
WWTR1_GSM1614031	AUC = 0.654
FOSL2_ENCSR111ZXV_3	AUC = 0.652
FOSL2_ENCSR563GCV_3	AUC = 0.652
FOSL2_ENCSR535HFQ_3	AUC = 0.652
RELA_GSM2103051	AUC = 0.652
ZEB1_GSM2360622	AUC = 0.652
FOSL2_ENCSR242EWU_3	AUC = 0.651
FOSL2_ENCSR900RUE_2	AUC = 0.650
PROX1_GSM1831051	AUC = 0.649
JUN_GSM1614037	AUC = 0.649
NR3C1_GSM1350528	AUC = 0.649
FOS_GSM610336	AUC = 0.649
FOSL2_ENCSR111ZXV_1	AUC = 0.649
FOSL2_ENCSR330IJE_1	AUC = 0.648
TAL1_GSM722165	AUC = 0.648
FOSL2_ENCSR563GCV_2	AUC = 0.648
TAL1_GSM837997	AUC = 0.647
BRD4_GSM1038284	AUC = 0.647
FOSL2_ENCSR067XTW_1	AUC = 0.647
TAL1_GSM614003	AUC = 0.646
TEAD4_GSM1614035	AUC = 0.645
ZEB1_GSM2857242	AUC = 0.645
EP300_GSM1645718	AUC = 0.644
MBD3_GSM1974448	AUC = 0.644
FOSL2_ENCSR103UVU_2	AUC = 0.644
POLR2A_GSM1195554	AUC = 0.642
TCF21_GSM1503217	AUC = 0.642
BRD4_GSM1195552	AUC = 0.642
BRD4_GSM1503857	AUC = 0.641
FOS_GSM777644	AUC = 0.641
GLI2_GSM2661795	AUC = 0.641
FOS_GSM730704	AUC = 0.641
ATF3_GSM838675	AUC = 0.639
WWTR1_GSM1614030	AUC = 0.639
GLI2_GSM2661793	AUC = 0.638
NR3C1_GSM1350531	AUC = 0.638
EHF_GSM2266285	AUC = 0.637
CENPC_GSM1709889	AUC = 0.636
ETV4_GSM738817	AUC = 0.635
SPI1_GSM2695652	AUC = 0.634
BANF1_GSM1645713	AUC = 0.633
AR_GSM1308235	AUC = 0.633
JUN_GSM2394414	AUC = 0.633
GATA2_GSM730702	AUC = 0.633
TAL1_GSM607953	AUC = 0.632
RXRA_GSM2877302	AUC = 0.632
FOSL2_ENCSR535HFQ_2	AUC = 0.632
GATA1_GSM610335	AUC = 0.632
LYL1_GSM1901548	AUC = 0.632
SUMO2_GSM1035435	AUC = 0.632
PRMT1_GSM2977012	AUC = 0.632
EP300_GSM1831049	AUC = 0.631
FOS_GSM610337	AUC = 0.631
POLR2A_GSM1195553	AUC = 0.630
FLI1_GSM790209	AUC = 0.630
PGBD3_GSM929914	AUC = 0.629
TEAD1_GSM1667161	AUC = 0.628
LYL1_GSM1901550	AUC = 0.627
RELA_GSM486307	AUC = 0.627
TCF21_GSM1503216	AUC = 0.626
ATF3_GSM2151904	AUC = 0.626
NR3C1_GSM1350526	AUC = 0.626
EP300_GSM971334	AUC = 0.626
POLR2A_GSM803459	AUC = 0.626
MBD3_GSM1974449	AUC = 0.626
LYL1_GSM1901542	AUC = 0.625
LMO2_GSM1082311	AUC = 0.625
STAT3_GSM935399	AUC = 0.624
NR3C1_GSM2735383	AUC = 0.624
RELA_GSM2419826	AUC = 0.624
FAIRE_GSM1122848	AUC = 0.623
SPI1_GSM2695653	AUC = 0.623
TAL1_GSM837996	AUC = 0.623
EP300_GSM1240110	AUC = 0.623
CEBPB_GSM2804467	AUC = 0.623
STAT3_GSM935551	AUC = 0.623
JUN_GSM1848883	AUC = 0.622
RELA_GSM2103048	AUC = 0.622
MAX_GSM894077	AUC = 0.622
JUN_GSM935467	AUC = 0.621
FOSL1_GSM2635314	AUC = 0.620
BANF1_GSM1645712	AUC = 0.620
ERG_GSM927071	AUC = 0.620
