TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
JUND	4.744	1.050e-06	3.021	0.721	0.023	5.227e-05
FOS	5.106	1.646e-07	3.113	0.669	0.023	5.227e-05
JUN	7.529	2.560e-14	2.699	0.739	0.025	7.170e-05
TAL1	6.147	3.954e-10	2.837	0.648	0.033	1.628e-04
FOSL1	4.195	1.366e-05	2.610	0.783	0.035	1.908e-04
FAIRE	3.190	7.108e-04	2.991	0.656	0.037	2.351e-04
NKX2-1	3.480	2.509e-04	3.493	0.613	0.040	2.937e-04
JUNB	2.797	2.578e-03	2.804	0.664	0.045	4.182e-04
GATA6	5.087	1.816e-07	3.084	0.601	0.046	4.487e-04
GATA1	5.992	1.039e-09	2.602	0.632	0.047	4.699e-04
EP300	8.095	2.863e-16	2.339	0.667	0.050	5.614e-04
NR3C1	8.990	1.236e-19	2.338	0.666	0.050	5.736e-04
PLRG1	2.338	9.684e-03	3.579	0.617	0.051	6.113e-04
PTRF	2.290	1.102e-02	3.467	0.605	0.060	9.562e-04
CENPC	1.685	4.598e-02	3.701	0.636	0.060	9.562e-04
GATA3	5.974	1.160e-09	2.495	0.609	0.060	9.912e-04
GATA4	4.654	1.625e-06	2.957	0.587	0.060	9.912e-04
GATA2	4.131	1.806e-05	2.446	0.633	0.061	1.009e-03
ILK	2.292	1.095e-02	3.441	0.603	0.061	1.027e-03
PTTG1	2.312	1.039e-02	3.279	0.605	0.062	1.064e-03
TEAD4	3.441	2.900e-04	2.361	0.659	0.063	1.101e-03
PROX1	2.715	3.316e-03	2.485	0.649	0.064	1.159e-03
CBX3	3.140	8.438e-04	4.063	0.570	0.064	1.199e-03
BANF1	2.843	2.236e-03	2.473	0.633	0.066	1.302e-03
LYL1	4.074	2.309e-05	2.377	0.632	0.067	1.324e-03
TTF1	2.270	1.162e-02	3.365	0.598	0.067	1.324e-03
FOSL2	10.191	1.083e-24	2.022	0.689	0.067	1.367e-03
TCF4	2.767	2.831e-03	2.392	0.654	0.068	1.434e-03
PPARG	5.068	2.010e-07	2.100	0.672	0.069	1.457e-03
MITF	2.353	9.300e-03	3.016	0.596	0.070	1.574e-03
IKZF1	5.006	2.782e-07	2.628	0.584	0.071	1.598e-03
CEBPB	9.435	1.964e-21	2.180	0.623	0.073	1.723e-03
STAT3	3.866	5.522e-05	2.062	0.676	0.075	1.936e-03
YAP1	3.411	3.233e-04	2.122	0.658	0.078	2.136e-03
YBX1	2.531	5.687e-03	3.005	0.578	0.079	2.196e-03
CUX1	2.731	3.159e-03	2.684	0.588	0.079	2.226e-03
TSC22D4	2.205	1.372e-02	2.958	0.594	0.080	2.287e-03
PRMT1	2.267	1.168e-02	2.485	0.632	0.080	2.287e-03
DAXX	2.250	1.224e-02	2.869	0.590	0.081	2.381e-03
GRIP1	2.418	7.797e-03	2.246	0.664	0.081	2.381e-03
LRWD1	1.620	5.263e-02	3.697	0.596	0.082	2.445e-03
TCF21	3.275	5.282e-04	2.105	0.642	0.083	2.610e-03
ZFP28	2.205	1.372e-02	3.116	0.579	0.084	2.678e-03
