Gene,Signature
AJUBA,Undifferentiated
TOR4A,Undifferentiated
MARCHF4,Undifferentiated
ZDHHC2,Undifferentiated
ZNF467,Undifferentiated
ZNF185,Undifferentiated
ZIC2,Undifferentiated
VASN,Undifferentiated
UCP2,Undifferentiated
GALNT6,Undifferentiated
TNFAIP2,Undifferentiated
TNFSF18,Undifferentiated
TMEM40,Undifferentiated
TMEM200A,Undifferentiated
TMEM184A,Undifferentiated
TBL1X,Undifferentiated
TRERF1,Undifferentiated
TOX,Undifferentiated
TBC1D2,Undifferentiated
SFN,Undifferentiated
SAMD12,Undifferentiated
SAMD11,Undifferentiated
SOX9,Undifferentiated
SLC8A1,Undifferentiated
SLC38A4,Undifferentiated
SLC16A14,Undifferentiated
SCN5A,Undifferentiated
SCNN1A,Undifferentiated
SH3RF2,Undifferentiated
SERPINB7,Undifferentiated
SLPI,Undifferentiated
SECTM1,Undifferentiated
RUNX2,Undifferentiated
ARHGAP29,Undifferentiated
REN,Undifferentiated
PAWR,Undifferentiated
PSG9,Undifferentiated
PSG5,Undifferentiated
PSG4,Undifferentiated
PBX1,Undifferentiated
PLAGL1,Undifferentiated
PHLDB2,Undifferentiated
PLEKHA6,Undifferentiated
PDGFC,Undifferentiated
PLAU,Undifferentiated
PKP2,Undifferentiated
PLAC8,Undifferentiated
PADI3,Undifferentiated
PITX1,Undifferentiated
NUAK1,Undifferentiated
NTNG1,Undifferentiated
NMT2,Undifferentiated
MYEOV,Undifferentiated
MICAL2,Undifferentiated
MGST1,Undifferentiated
MECOM,Undifferentiated
LYPD6B,Undifferentiated
LAMA5,Undifferentiated
KISS1,Undifferentiated
KRT86,Undifferentiated
KRT81,Undifferentiated
KRT80,Undifferentiated
KRT8,Undifferentiated
KRT7,Undifferentiated
KRT18,Undifferentiated
JUP,Undifferentiated
IL7R,Undifferentiated
IL4R,Undifferentiated
IRS1,Undifferentiated
IGFN1,Undifferentiated
HES7,Undifferentiated
GDA,Undifferentiated
GLIS2,Undifferentiated
GATA2,Undifferentiated
GPRC5C,Undifferentiated
GPRC5A,Undifferentiated
FMNL1,Undifferentiated
FOXA1,Undifferentiated
FLNC,Undifferentiated
FERMT1,Undifferentiated
FAT4,Undifferentiated
INSYN2B,Undifferentiated
ELFN2,Undifferentiated
EGFR,Undifferentiated
DSE,Undifferentiated
DMBT1,Undifferentiated
DIO2,Undifferentiated
DOCK2,Undifferentiated
CYP2S1,Undifferentiated
CRIM1,Undifferentiated
CDK15,Undifferentiated
CORO6,Undifferentiated
COLEC10,Undifferentiated
CCDC88C,Undifferentiated
CCDC69,Undifferentiated
F3,Undifferentiated
F2RL1,Undifferentiated
CLU,Undifferentiated
CDYL2,Undifferentiated
CITED2,Undifferentiated
CARD11,Undifferentiated
CPA4,Undifferentiated
CREB3L1,Undifferentiated
CNN1,Undifferentiated
CALB2,Undifferentiated
CDH4,Undifferentiated
BTBD11,Undifferentiated
BDNF,Undifferentiated
BASP1,Undifferentiated
BNC1,Undifferentiated
ATP8B1,Undifferentiated
ABCG2,Undifferentiated
ARMC4,Undifferentiated
ANKRD1,Undifferentiated
AR,Undifferentiated
AMIGO2,Undifferentiated
ADAMTSL1,Undifferentiated
ACSL5,Undifferentiated
VIT,Undifferentiated-Neural crest-like
VIPR1,Undifferentiated-Neural crest-like
VEGFC,Undifferentiated-Neural crest-like
TWIST2,Undifferentiated-Neural crest-like
TNFRSF12A,Undifferentiated-Neural crest-like
TPM1,Undifferentiated-Neural crest-like
TPBG,Undifferentiated-Neural crest-like
TLE4,Undifferentiated-Neural crest-like
TOX2,Undifferentiated-Neural crest-like
TLR4,Undifferentiated-Neural crest-like
THSD4,Undifferentiated-Neural crest-like
STX1A,Undifferentiated-Neural crest-like
SYT1,Undifferentiated-Neural crest-like
SYNPO,Undifferentiated-Neural crest-like
STRA6,Undifferentiated-Neural crest-like
STC2,Undifferentiated-Neural crest-like
SPRED3,Undifferentiated-Neural crest-like
SPOCD1,Undifferentiated-Neural crest-like
SPOCK1,Undifferentiated-Neural crest-like
SLC2A1,Undifferentiated-Neural crest-like
SLC16A2,Undifferentiated-Neural crest-like
SLC14A1,Undifferentiated-Neural crest-like
SLC12A8,Undifferentiated-Neural crest-like
SMAGP,Undifferentiated-Neural crest-like
SLIT2,Undifferentiated-Neural crest-like
SDK1,Undifferentiated-Neural crest-like
STAC,Undifferentiated-Neural crest-like
SLFN11,Undifferentiated-Neural crest-like
S100A2,Undifferentiated-Neural crest-like
ROBO4,Undifferentiated-Neural crest-like
RAB27B,Undifferentiated-Neural crest-like
PKIA,Undifferentiated-Neural crest-like
PRSS23,Undifferentiated-Neural crest-like
PAPPA,Undifferentiated-Neural crest-like
PRDM1,Undifferentiated-Neural crest-like
KCNMA1,Undifferentiated-Neural crest-like
KCNN4,Undifferentiated-Neural crest-like
PODXL,Undifferentiated-Neural crest-like
PDGFRB,Undifferentiated-Neural crest-like
PLAUR,Undifferentiated-Neural crest-like
PXDN,Undifferentiated-Neural crest-like
PTX3,Undifferentiated-Neural crest-like
NMNAT2,Undifferentiated-Neural crest-like
NRP1,Undifferentiated-Neural crest-like
NGEF,Undifferentiated-Neural crest-like
NEGR1,Undifferentiated-Neural crest-like
NRG1,Undifferentiated-Neural crest-like
NTN4,Undifferentiated-Neural crest-like
MT2A,Undifferentiated-Neural crest-like
MT1E,Undifferentiated-Neural crest-like
MPP4,Undifferentiated-Neural crest-like
LOXL2,Undifferentiated-Neural crest-like
LDOC1,Undifferentiated-Neural crest-like
LAMB3,Undifferentiated-Neural crest-like
JUN,Undifferentiated-Neural crest-like
IL31RA,Undifferentiated-Neural crest-like
IL11,Undifferentiated-Neural crest-like
IL1B,Undifferentiated-Neural crest-like
ITGA3,Undifferentiated-Neural crest-like
ITGA2,Undifferentiated-Neural crest-like
IGFBP6,Undifferentiated-Neural crest-like
ID1,Undifferentiated-Neural crest-like
INHBA,Undifferentiated-Neural crest-like
HRH1,Undifferentiated-Neural crest-like
GAS6,Undifferentiated-Neural crest-like
GLIPR1,Undifferentiated-Neural crest-like
GFRA1,Undifferentiated-Neural crest-like
GATA3,Undifferentiated-Neural crest-like
GPR176,Undifferentiated-Neural crest-like
FZD2,Undifferentiated-Neural crest-like
FJX1,Undifferentiated-Neural crest-like
FOSL1,Undifferentiated-Neural crest-like
FOXF1,Undifferentiated-Neural crest-like
FBLIM1,Undifferentiated-Neural crest-like
FLNB,Undifferentiated-Neural crest-like
FAM83G,Undifferentiated-Neural crest-like
FAM20C,Undifferentiated-Neural crest-like
FAM171A1,Undifferentiated-Neural crest-like
FAM155A,Undifferentiated-Neural crest-like
ERRFI1,Undifferentiated-Neural crest-like
EFNB2,Undifferentiated-Neural crest-like
DPYD,Undifferentiated-Neural crest-like
DKK1,Undifferentiated-Neural crest-like
DOCK5,Undifferentiated-Neural crest-like
CCN1,Undifferentiated-Neural crest-like
CLMP,Undifferentiated-Neural crest-like
COL13A1,Undifferentiated-Neural crest-like
COL12A1,Undifferentiated-Neural crest-like
COL5A1,Undifferentiated-Neural crest-like
F2RL2,Undifferentiated-Neural crest-like
BMERB1,Undifferentiated-Neural crest-like
CCDC9B,Undifferentiated-Neural crest-like
C12orf75,Undifferentiated-Neural crest-like
CD163L1,Undifferentiated-Neural crest-like
CAV1,Undifferentiated-Neural crest-like
CARD10,Undifferentiated-Neural crest-like
CLCF1,Undifferentiated-Neural crest-like
CDH13,Undifferentiated-Neural crest-like
BMP2,Undifferentiated-Neural crest-like
AXL,Undifferentiated-Neural crest-like
