"ensembl_gene_id_version","baseMean","log2FoldChange","lfcSE","pvalue","padj","external_gene_name","description","ensembl_gene_id","gene_type"
"ENSG00000227232.5",8.60341717708749,-0.271621861968797,0.393669497099725,0.256419355636479,0.437467148140364,"WASH7P","WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]","ENSG00000227232","unprocessed_pseudogene"
"ENSG00000241860.7",3.92239830163549,0.139296641926427,0.41559376290029,0.442965417677422,0.624763106698106,"AL627309.5","novel transcript","ENSG00000241860","lncRNA"
"ENSG00000279457.4",26.6663721426042,-0.467014809345581,0.39990655243934,0.0821599003733481,0.198003360875429,"WASH9P","WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]","ENSG00000279457","unprocessed_pseudogene"
"ENSG00000225630.1",1489.36762211161,-0.193214522361664,0.184177747100313,0.255553205847446,0.436674152487456,"MTND2P28","MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]","ENSG00000225630","unprocessed_pseudogene"
"ENSG00000237973.1",1406.58463519624,0.472285455037238,0.242011907135087,0.0210639315480746,0.0743073994963149,"MTCO1P12","MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]","ENSG00000237973","unprocessed_pseudogene"
"ENSG00000229344.1",15.530462370996,0.855072812646302,0.530210822601388,0.0137305531019723,0.054078596515635,"MTCO2P12","MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]","ENSG00000229344","unprocessed_pseudogene"
"ENSG00000248527.1",4781.15339825294,-0.00293900333734191,0.159986463605968,0.977704657303878,0.989638715514411,"MTATP6P1","MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]","ENSG00000248527","unprocessed_pseudogene"
"ENSG00000198744.5",12.5459984275163,-0.0536050422452557,0.316570118628592,0.805515796702814,0.89259680567508,"MTCO3P12","MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]","ENSG00000198744","unprocessed_pseudogene"
"ENSG00000228327.3",18.9038680472206,-0.169575768798581,0.375751537744327,0.439183054459036,0.621888227936634,"AL669831.1","general transcription factor IIi (GTF2I) pseudogene","ENSG00000228327","transcribed_unprocessed_pseudogene"
"ENSG00000237491.10",7.34121270599833,-0.161907283784305,0.408312843596454,0.409193497649539,0.596038469738042,"LINC01409","long intergenic non-protein coding RNA 1409 [Source:HGNC Symbol;Acc:HGNC:50701]","ENSG00000237491","lncRNA"
"ENSG00000230092.7",3.95347582100785,-0.0353178962881748,0.382976831536848,0.847020728548941,0.918778201961542,"AL669831.4","F-box only protein 25 (FBXO25) pseudogene","ENSG00000230092","transcribed_unprocessed_pseudogene"
"ENSG00000228794.10",202.486430454216,-0.496744234148786,0.234921111108238,0.0148325142573076,0.057327831674805,"LINC01128","long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]","ENSG00000228794","lncRNA"
"ENSG00000225880.5",11.5891546101414,-0.0858096277343698,0.33775699106515,0.689797066162206,0.816787021056805,"LINC00115","long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]","ENSG00000225880","lncRNA"
"ENSG00000230699.2",3.8163197478508,-0.639440442066894,0.855043690768597,0.0375797306072211,0.112929212370832,"AL645608.2","novel transcript","ENSG00000230699","lncRNA"
"ENSG00000223764.2",10.7828103896981,-2.25490374768792,0.687154252101229,6.98033854776207e-05,0.000839760161727733,"LINC02593","long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]","ENSG00000223764","lncRNA"
"ENSG00000187634.12",82.0670334260651,-1.59057847820168,0.636874072968565,0.000995209223419795,0.0071836377507496,"SAMD11","sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]","ENSG00000187634","protein_coding"
