"ensembl_gene_id_version","baseMean","log2FoldChange","lfcSE","pvalue","padj","external_gene_name","description","ensembl_gene_id","gene_type"
"ENSG00000227232.5",8.08320364410307,-0.325542437329762,0.507063306052809,0.183364935870689,0.311914698497267,"WASH7P","WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]","ENSG00000227232","unprocessed_pseudogene"
"ENSG00000279457.4",29.2799630383452,-0.297791044531329,0.410103352179315,0.239509652107748,0.378813751777966,"WASH9P","WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]","ENSG00000279457","unprocessed_pseudogene"
"ENSG00000225630.1",1406.82759169127,-0.346979772719697,0.186159015981165,0.0412591705559285,0.101724702592326,"MTND2P28","MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]","ENSG00000225630","unprocessed_pseudogene"
"ENSG00000237973.1",1125.82618944885,0.20493830436904,0.187375286871714,0.232363101104126,0.370771036169898,"MTCO1P12","MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]","ENSG00000237973","unprocessed_pseudogene"
"ENSG00000229344.1",12.6445598814302,0.491203610023384,0.58489100386592,0.0909083138187405,0.184748372299546,"MTCO2P12","MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]","ENSG00000229344","unprocessed_pseudogene"
"ENSG00000248527.1",4443.95154156305,-0.113224346603889,0.168991654753202,0.470474890146719,0.613802898001322,"MTATP6P1","MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]","ENSG00000248527","unprocessed_pseudogene"
"ENSG00000198744.5",12.7542999361418,0.00957037701114381,0.380367956171683,0.967356021187425,0.980797774290821,"MTCO3P12","MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]","ENSG00000198744","unprocessed_pseudogene"
"ENSG00000228327.3",14.3657981432834,-1.44955192004312,0.68393575376008,0.00219980798877403,0.0100560766872914,"AL669831.1","general transcription factor IIi (GTF2I) pseudogene","ENSG00000228327","transcribed_unprocessed_pseudogene"
"ENSG00000237491.10",7.86408511896012,-0.119091689636806,0.430890963283113,0.542660154002395,0.675670364906846,"LINC01409","long intergenic non-protein coding RNA 1409 [Source:HGNC Symbol;Acc:HGNC:50701]","ENSG00000237491","lncRNA"
"ENSG00000228794.10",190.980611322782,-0.904721471148309,0.217540260175503,6.33946271410938e-06,8.06985028298564e-05,"LINC01128","long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]","ENSG00000228794","lncRNA"
"ENSG00000225880.5",13.136163839613,0.0624365897788729,0.379675951253486,0.781561220581447,0.858951327029912,"LINC00115","long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]","ENSG00000225880","lncRNA"
"ENSG00000223764.2",15.056290784688,-1.36349426020359,0.68918871641786,0.00328765045101753,0.0139578700941028,"LINC02593","long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]","ENSG00000223764","lncRNA"
